text,label
"Scientists announce a new breakthrough in renewable energy technology.","REAL"
"Government announces new education policy after consultation with schools and universities.","REAL"
"Local authorities open a new public hospital to improve healthcare services.","REAL"
"Researchers publish a study on climate change in a scientific journal.","REAL"
"Breaking news! You won't believe this shocking secret! Scientists discovered a miracle cure that guarantees to cure every disease.","FAKE"
"Experts reveal that drinking this special liquid will make you live forever.","FAKE"
"Secret government files prove that the moon is made of cheese.","FAKE"
"Doctors are hiding a magical treatment that can cure every illness instantly.","FAKE"
"University launches a new artificial intelligence research laboratory.","REAL"
"Scientists conduct experiments to study the effects of pollution on air quality.","REAL"
"Famous celebrity claims aliens have secretly taken control of the government.","FAKE"
"Scientists discover that eating one chocolate bar gives humans superpowers.","FAKE"
